Player,Team,Pos,L3,L5,L10,All,1,2,3,4,5
Duncan Robinson,MIA,F,16.3,16.3,16.3,17.8,6,20,23,,
Jalen Green,HOU,G,16,27,28.8,33.9,,,16,32,33
Daniel Theis,IND,C,16,19,15.4,15.4,,16,,22,
Ricky Rubio,CLE,G,16,18.3,18,16.6,20,12,,,23
Jordan Nwora,IND,F,16,16.3,16.3,16.3,21,18,9,17,
Svi Mykhailiuk,CHA,G,16,16,16,16,,7,25,,
Charles Bassey,SAS,C,16,15.3,15.3,14,15,19,14,13,
Jonathan Isaac,ORL,F,16,14.3,12.4,11.3,,16,,13,14
Day'Ron Sharpe,BKN,C,16,11.3,14.4,10.5,,16,,15,3
Austin Rivers,MIN,G,15.7,17.6,18,20.7,21,19,7,21,20
Chimezie Metu,SAC,C,15.7,13,12.1,11.1,11,21,15,10,8
Bones Hyland,LAC,G,15.5,15.7,15.7,15.7,15,,16,16,
Cody Zeller,MIA,C,15.5,15.5,15.5,15.5,15,16,,,
AJ Griffin,ATL,F,15.3,16,17.2,20.1,13,18,15,17,17
Terence Davis,SAC,F,15,19.8,18,13.8,13,14,18,22,32
Haywood Highsmith,MIA,F,15,18.5,21.4,19.4,,7,23,28,16
Lamar Stevens,CLE,F,15,12.5,9.4,17.5,5,26,14,5,
Mo Bamba,LAL,C,14.7,14.7,14.7,14.7,6,22,16,,
Thomas Bryant,DEN,C,14.7,14.4,12.3,12.3,11,21,12,14,14
JaMychal Green,GSW,F,14.7,13.8,14.3,14.7,12,16,16,9,16
Tre Mann,OKC,G,14.7,13.5,16,18.1,14,16,14,10,
Christian Braun,DEN,G,14.5,20.5,23.6,15.1,0,21,8,27,26
Jalen McDaniels,PHI,F,14.3,17.4,17.4,17.4,15,15,13,28,16
Georges Niang,PHI,F,14.3,16.6,18.9,19.6,13,17,13,18,22
JT Thor,CHA,F,14.3,13.2,11,11,26,8,9,7,16
Cory Joseph,DET,G,14,15.4,15.8,15.7,10,15,17,18,17
Jaden Hardy,DAL,G,14,15.3,15.8,11.6,,4,24,16,17
John Konchar,MEM,G,14,14.8,16.3,22.1,14,17,11,5,27
Jabari Walker,POR,F,14,14.4,10.6,9.1,13,17,12,17,13
Willy Hernangomez,NOP,C,14,14,16.3,13.2,11,,17,,
Joe Harris,BKN,G,13.7,14.8,18.8,23.4,6,22,13,17,16
Andre Drummond,CHI,C,13.7,13.2,13.6,13,14,14,13,11,14
Dean Wade,CLE,F,13.7,11.2,17.5,20.9,25,8,8,9,6
Jeremiah Robinson-Earl,OKC,C,13.3,15.2,15.2,20.3,19,10,11,18,18
Obi Toppin,NYK,F,13.3,13,13,14.8,15,12,13,16,9
Pat Connaughton,MIL,G,13,24,26.8,25.2,13,,,35,24
Jericho Sims,NYK,C,13,18.3,21.4,16,4,,22,24,23
Jamaree Bouyea,MIA,G,13,16.7,16,16,,,13,28,9
MarJon Beauchamp,MIL,F,13,14,12,14.5,,5,21,,16
Theo Pinson,DAL,G,13,13.8,13.3,7.2,,6,20,19,10
McKinley Wright,DAL,G,13,13,14.2,10.3,,,13,,
Chuma Okeke,ORL,F,13,13,13,21.3,,,13,,
Dalen Terry,CHI,G,13,12.6,10.1,5.1,2,10,27,15,9
Jalen Smith,IND,F,13,11.3,9.6,18.2,20,,6,,8
Patrick Baldwin,GSW,F,13,10.3,10.3,8.8,13,16,10,2,
Ish Wainright,PHX,F,12.7,16.8,19.3,15.5,18,13,7,20,26
Damion Lee,PHX,G,12.7,16.4,19.5,21.9,13,17,8,23,21
Kendrick Nunn,WAS,G,12.7,16.2,16.7,17.5,15,10,13,14,29
Jordan McLaughlin,MIN,G,12.7,14.4,13.5,15.2,14,13,11,16,18
Seth Curry,BKN,G,12.7,12.7,16.6,22.5,7,21,10,,
Taj Gibson,WAS,C,12.5,12,11,10,12,13,,11,
Luke Kornet,BOS,C,12.5,8.5,12.3,11.7,,5,20,2,7
Sam Hauser,BOS,F,12.3,21.4,20.3,15.5,2,13,22,39,31
Larry Nance,NOP,F,12,18,20.6,22.3,5,19,,21,27
Caleb Houstan,ORL,F,12,12.5,13.3,16.1,,,12,13,
Cameron Payne,PHX,G,12,12,12,23.3,8,16,,,
A.J. Lawson,DAL,G,12,12,11.7,4.9,,,12,,
Usman Garuba,HOU,F,12,11.8,10.9,13.4,8,13,15,9,14
Bismack Biyombo,PHX,C,12,8.5,10.5,13.8,,,12,,5
Dominick Barlow,SAS,F,11,14.5,12.3,9.3,,16,6,17,19
Dario Saric,OKC,F,11,11.8,11.8,11.8,9,12,12,14,
Lindy Waters,OKC,F,11,11.5,10.7,11.2,17,5,,18,6
Jock Landale,PHX,C,11,11.4,12.6,14.1,12,17,4,11,13
Kai Jones,CHA,C,11,11,11,8.9,11,,,,
Damian Jones,UTA,C,10.5,10.5,10.5,10.5,,13,8,,
Jalen Johnson,ATL,F,10.3,11.8,13.5,14.3,5,22,4,13,15
Jaylen Nowell,MIN,G,10,14.8,17.9,19.5,,7,13,15,24
Rudy Gay,UTA,F,10,12.3,13.3,14.5,16,4,,16,13
Meyers Leonard,MIL,C,10,10,10,10,5,15,,,
Keon Johnson,POR,G,10,7.8,7.8,10.1,8,19,3,7,2
JaVale McGee,DAL,C,10,7.7,9.3,8.3,,,10,2,11
Darius Days,HOU,F,9.5,7.7,6.3,6.3,,2,17,4,
Malachi Flynn,TOR,G,9,13.3,11.9,13.7,9,,,13,18
David Roddy,MEM,F,9,10.7,12,17.4,4,14,,,14
Moses Moody,GSW,G,9,9.6,9.6,13.9,4,13,10,13,8
Markieff Morris,DAL,F,9,9,9,9,9,,,,
Goga Bitadze,ORL,C,9,9,9,9,9,,,,
Yuta Watanabe,BKN,F,9,6,15,17.8,,9,,4,5
Frank Kaminsky,HOU,C,8.5,7.7,7.7,7.7,,4,13,6,
Saben Lee,PHX,G,8,10.3,13.8,15.6,,,8,6,17
Danny Green,CLE,G,8,9.3,9.3,9.3,6,10,,12,
T.J. Warren,PHX,F,8,7.5,7.5,7.5,,,8,7,
Anthony Gill,WAS,F,8,7.3,10.8,10,8,,,2,12
Trevor Hudgins,HOU,G,8,6.7,6.5,6,,2,14,4,
Nathan Knight,MIN,C,8,5,11.2,8.1,8,,,,2
Giannis Antetokounmpo,MIL,F,7.5,22.8,28.7,32.6,,6,9,46,30
Raul Neto,CLE,G,7.5,8.3,10.7,10.2,5,10,,10,
Joe Wieskamp,TOR,G,7,7,7,8,7,,,,
Malcolm Hill,CHI,G,7,7,7,1.8,,,7,,
Shake Milton,PHI,G,6.7,10.6,12.1,20.9,2,8,10,19,14
Paul Reed,PHI,F,6.7,9.6,8.1,9.3,5,6,9,17,11
Boban Marjanovic,HOU,C,6.5,5.7,5.8,4.5,6,,7,4,
Udoka Azubuike,UTA,C,6,8.8,10.7,5.8,8,,4,13,10
Lonnie Walker,LAL,G,5.7,9.4,14.4,25.8,6,8,3,15,15
Wenyen Gabriel,LAL,F,5.5,9,11.8,15.3,,7,4,13,12
Davon Reed,LAL,G,5.5,6,6,6,,8,3,7,
Isaiah Jackson,IND,C,5,16.3,13,15.3,,,5,26,18
Dalano Banton,TOR,G,5,6,5.8,9.3,5,,,4,9
Christian Koloko,TOR,C,5,5,9,14.4,5,,,,
Juancho Hernangomez,TOR,F,5,5,4.7,14.7,5,,,,
Ron Harper,TOR,F,5,5,5,3.8,5,,,,
R.J. Hampton,DET,G,5,5,5,5,5,,,,
Jamal Cain,MIA,F,5,5,5,13.4,,5,,,
Aaron Holiday,ATL,G,5,4,5.4,14.3,,2,8,,2
John Butler,POR,F,5,3.5,4,3.3,,5,,2,
Kevin Knox,POR,F,4.7,5.3,5.3,5.3,1,5,8,7,
Collin Sexton,UTA,G,4,21.3,24.6,24,,,4,29,31
Ish Smith,DEN,G,4,13,15.8,10.1,,4,,19,16
Thaddeus Young,TOR,F,4,11.7,14.4,15.5,0,4,,7,24
Orlando Robinson,MIA,C,4,9.3,10.7,13.7,,,4,14,10
Kira Lewis,NOP,G,4,9.3,10.8,10.7,4,,4,19,10
Kessler Edwards,SAC,F,4,7,7,7,,,4,10,
Derrick Jones,CHI,F,4,5.7,11.5,14.6,2,6,,,9
Gorgui Dieng,SAS,C,4,5.7,8.8,9.6,1,7,,,9
Terry Taylor,CHI,F,4,4,4,4,,4,,,
Dereon Seabron,NOP,F,4,4,4,2.6,,,4,,
Dyson Daniels,NOP,G,4,4,4,19.5,4,,,,
